,Name,Transmission,KM_Driven,Fuel_Type,Owner,Registration,EMI,Price,Year,Types,City,Discount
946,2019 Ford Figo Aspire 1.2 TITANIUM PETROL,MANUAL,7751,Petrol,1st Owner,KL-71,11165,623299,2019,Ford,Kochi,571099
947,2021 Renault TRIBER 1.0 RXZ,MANUAL,11151,Petrol,1st Owner,MH-14,12884,712999,2021,Renault,Pune,658999
948,2019 Ford Figo Aspire TREND PLUS CNG,MANUAL,47681,Petrol + CNG,1st Owner,MH-05,13335,738599,2019,Ford,Pune,682099
949,2018 Hyundai Verna 1.6 CRDI SX + AT,AUTOMATIC,38762,Diesel,1st Owner,MP-09,19528,1142099,2018,Hyundai,Indore,1039899
950,2019 KIA SELTOS GTX + AT PETROL,AUTOMATIC,19414,Petrol,1st Owner,KA-04-x-xxxx,35361,1894599,2019,KIA,Bangalore,1882999
951,2019 Maruti Alto LXI,MANUAL,43149,Petrol,1st Owner,KL-60,6608,337999,2019,Maruti,Kochi,337999
952,2018 Mahindra Thar CRDE 4X4 BS IV,MANUAL,36652,Diesel,1st Owner,RJ-14,17725,948899,2018,Mahindra,Jaipur,943899
953,2019 Maruti New  Wagon-R VXI 1.0,MANUAL,17660,Petrol,1st Owner,RJ-02,10758,550299,2019,Maruti,Jaipur,550299
954,2016 Honda City VX MT PETROL,MANUAL,64518,Petrol,2nd Owner,MH-14,13812,711699,2016,Honda,Pune,706499
955,2019 Tata Tiago XTA 1.2 PETROL,AUTOMATIC,7727,Petrol,1st Owner,WB-08,8876,501699,2019,Tata,Kolkata,453999
956,2011 Tata Safari 4X2 GX DICOR 2.2 VTT,MANUAL,60149,Diesel,2nd Owner,KA-03-x-xxxx,7877,402899,2011,Tata,Bangalore,402899
957,2016 Tata Tiago XZ 1.2 REVOTRON,MANUAL,52529,Petrol,1st Owner,KA-01-x-xxxx,9847,508699,2016,Tata,Bangalore,503699
958,2021 Tata Harrier XT+ 2.0 KRYOTEC,MANUAL,14291,Diesel,1st Owner,UP-15,34692,1949499,2021,Tata,New Delhi,1847399
959,2015 Maruti Alto 800 LXI,MANUAL,25017,Petrol,1st Owner,GJ-06,5396,275999,2015,Maruti,Ahmedabad,275999
960,2019 Toyota Glanza G CVT,AUTOMATIC,26428,Petrol,1st Owner,MH-12,15076,852099,2019,Toyota,Pune,802799
961,2019 Honda Amaze 1.2 SMT I VTEC,MANUAL,24370,Petrol,1st Owner,GJ-27,13015,665699,2019,Honda,Ahmedabad,665699
962,2019 Hyundai Elite i20 Magna + CRDI,MANUAL,61933,Diesel,1st Owner,TS-07-x-xxxx,13175,711399,2019,Hyundai,Hyderabad,673899
963,2021 Maruti Vitara Brezza ZXI,MANUAL,41189,Petrol,1st Owner,UP-32-x-xxxx,17481,950499,2021,Maruti,Lucknow,930899
964,2021 Renault TRIBER 1.0 RXT,MANUAL,5887,Petrol,1st Owner,UP-78-x-xxxx,11932,610349,2021,Renault,Lucknow,610349
965,2015 Honda Amaze 1.2 SMT I VTEC,MANUAL,36295,Petrol,2nd Owner,KA-03-x-xxxx,9130,498499,2015,Honda,Bangalore,466999
966,2021 Hyundai NEW I20 MAGNA 1.2 MT,Manual,4662,Petrol,1st Owner,UP-70-x-xxxx,14792,756599,2021,Hyundai,Lucknow,756599
