,Name,Transmission,KM_Driven,Fuel_Type,Owner,Registration,EMI,Price,Year,Types,City,Discount
0,2020 Maruti New  Wagon-R LXI CNG 1.0 L,MANUAL,20724,Petrol + CNG,1st Owner,DL-1C,11626,594699,2020,Maruti,New Delhi,594699
1,2017 Maruti Celerio ZXI OPT AMT,AUTOMATIC,87848,Petrol,1st Owner,TS-08-x-xxxx,8893,465799,2017,Maruti,Hyderabad,454899
2,2010 Hyundai i10 ERA 1.1 IRDE,MANUAL,60476,Petrol,2nd Owner,KL-40,3775,229099,2010,Hyundai,Kochi,193099
3,2013 Maruti Alto 800 LXI,MANUAL,40700,Petrol,1st Owner,TN-12-x-xxxx,5019,256699,2013,Maruti,Chennai,256699
4,2021 Mahindra XUV 3OO W8 (O) AT,Manual,4022,Petrol,1st Owner,MH-12,22781,1213099,2021,Mahindra,Pune,1213099
5,2017 Skoda Rapid AMBITION 1.6 MPFI MT,MANUAL,46204,Petrol,1st Owner,KL-07,11949,611199,2017,Skoda,Kochi,611199
6,2013 Volkswagen Polo HIGHLINE1.2L PETROL,MANUAL,39352,Petrol,2nd Owner,MH-01,7591,388299,2013,Volkswagen,Mumbai,388299
7,2009 Hyundai i10 SPORTZ 1.2 AT,AUTOMATIC,49839,Petrol,1st Owner,MH-12,5128,262299,2009,Hyundai,Pune,262299
8,2019 Ford Ecosport 1.0 ECOBOOST TITANIUM SPORTS(SUNROOF),MANUAL,29221,Petrol,1st Owner,TN-02-x-xxxx,19258,1025499,2019,Ford,Chennai,1025499
9,2016 Hyundai Eon ERA PLUS,MANUAL,61372,Petrol,1st Owner,MP-37,6129,313499,2016,Hyundai,Indore,313499
10,2016 Ford Ecosport 1.5TITANIUM TDCI,MANUAL,41283,Diesel,1st Owner,UP-32-x-xxxx,13179,674099,2016,Ford,Lucknow,674099
11,2010 Ford Figo 1.2 ZXI DURATEC,MANUAL,79565,Petrol,2nd Owner,KA-03-x-xxxx,5220,266999,2010,Ford,Bangalore,266999
12,2021 Tata PUNCH CREATIVE  AMT,Manual,12459,Petrol,1st Owner,KA-50-x-xxxx,18125,965149,2021,Tata,Bangalore,965149
13,2017 Volkswagen Vento 1.2 TSI HIGHLINE PLUS AT,AUTOMATIC,36381,Petrol,1st Owner,RJ-14,15710,836599,2017,Volkswagen,Jaipur,836599
14,2012 Maruti Swift VXI,MANUAL,74741,Petrol,1st Owner,MH-04,6970,356499,2012,Maruti,Mumbai,356499
15,2021 Volkswagen Vento Highline 1.0 TSI MT,MANUAL,8689,Petrol,1st Owner,MH-46,20432,1111999,2021,Volkswagen,Mumbai,1087999
16,2017 Ford Ecosport 1.5 TITANIUM PLUS TI VCT AT,AUTOMATIC,14416,Petrol,2nd Owner,KL-07,18351,977199,2017,Ford,Kochi,977199
17,2020 Tata Tiago XE 1.2 REVOTRON,MANUAL,11084,Petrol,1st Owner,MP-04,9552,496399,2020,Tata,Indore,488599
18,2019 Renault Captur RXT PETROL,MANUAL,55608,Petrol,2nd Owner,GJ-01,13623,725899,2019,Renault,Ahmedabad,696799
19,2015 Hyundai Eon ERA PLUS,MANUAL,22741,Petrol,1st Owner,MH-02,5982,305999,2015,Hyundai,Pune,305999
20,2021 Tata ALTROZ XZ 1.2,MANUAL,5854,Petrol,1st Owner,KA-05-x-xxxx,16664,887399,2021,Tata,Bangalore,887399
21,2022 Hyundai NEW SANTRO SPORTZ 1.1,MANUAL,606,Petrol,2nd Owner,MH-12,12882,658899,2022,Hyundai,Pune,658899
22,2021 Hyundai Creta S CRDI,MANUAL,34068,Diesel,1st Owner,DL-10,23953,1450499,2021,Hyundai,New Delhi,1275499
23,2020 Renault TRIBER 1.0 RXT,MANUAL,14205,Petrol,1st Owner,KA-51-x-xxxx,13994,715799,2020,Renault,Bangalore,715799
24,2021 Maruti Swift ZXI+,MANUAL,24637,Petrol,1st Owner,WB-26,15245,840399,2021,Maruti,Kolkata,811799
25,2018 Toyota Corolla Altis VL AT,AUTOMATIC,34316,Petrol,2nd Owner,WB-06,27346,1548699,2018,Toyota,Kolkata,1456199
26,2015 Mahindra XUV500 W10 FWD,MANUAL,94062,Diesel,1st Owner,UP-32-x-xxxx,16090,856799,2015,Mahindra,Lucknow,856799
27,2019 Ford New Figo 1.2 TITANIUM,MANUAL,23027,Petrol,1st Owner,TN-09-x-xxxx,11429,584599,2019,Ford,Chennai,584599
28,2018 Renault Captur RXE PETROL MT,MANUAL,6607,Petrol,1st Owner,WB-20,11540,628799,2018,Renault,Kolkata,590299
29,2015 Maruti Alto 800 LXI,MANUAL,70844,Petrol,2nd Owner,TS-07-x-xxxx,5451,283799,2015,Maruti,Hyderabad,278799
30,2020 MG HECTOR SHARP 2.0 DIESEL,MANUAL,69314,Diesel,1st Owner,AP-39-x-xxxx,29676,1762899,2020,MG,Hyderabad,1580299
31,2011 Maruti Alto K10 VXI,MANUAL,69584,Petrol,2nd Owner,MH-05,3779,202999,2011,Maruti,Pune,193299
32,2018 Honda Jazz 1.2 S MT,MANUAL,50512,Petrol,2nd Owner,DL-9C,9971,556499,2018,Honda,New Delhi,509999
33,2016 Ford Ecosport 1.5 TREND TI VCT,MANUAL,54960,Petrol,2nd Owner,TN-59-x-xxxx,12182,623099,2016,Ford,Chennai,623099
34,2018 Renault Kwid RXT 1.0 EASY-R AT OPTION,AUTOMATIC,9371,Petrol,1st Owner,KL-42,8426,430999,2018,Renault,Kochi,430999
35,2020 Hyundai Creta S CRDI,MANUAL,58113,Diesel,1st Owner,TS-09-x-xxxx,25136,1418599,2020,Hyundai,Hyderabad,1338499
36,2021 Hyundai Creta EX MT,MANUAL,3002,Petrol,2nd Owner,GJ-06,22614,1252299,2021,Hyundai,Ahmedabad,1204199
37,2017 Honda WR-V 1.2 i-VTEC VX MT,MANUAL,75368,Petrol,1st Owner,WB-02,12434,635999,2017,Honda,Kolkata,635999
38,2020 Hyundai NEW SANTRO 1.1 SPORTZ MT CNG,Manual,85212,Petrol + CNG,1st Owner,UP-32-x-xxxx,11640,595399,2020,Hyundai,Lucknow,595399
39,2018 Nissan Micra XL CVT (PETROL),AUTOMATIC,22383,Petrol,1st Owner,MH-14,10715,594099,2018,Nissan,Pune,548099
40,2021 Hyundai VENUE 1.0L Turbo GDI SX MT,MANUAL,28372,Petrol,1st Owner,UP-70-x-xxxx,19096,1028599,2021,Hyundai,Lucknow,1016899
41,2014 Maruti Alto 800 VXI,MANUAL,76417,Petrol,2nd Owner,TS-08-x-xxxx,5359,274099,2014,Maruti,Hyderabad,274099
42,2022 Renault Kwid 1.0 CLIMBER OPT,MANUAL,8969,Petrol,1st Owner,TS-13-x-xxxx,10389,531399,2022,Renault,Hyderabad,531399
43,2017 Renault Duster RXZ 85 PS DIESEL,MANUAL,33220,Diesel,1st Owner,KA-51-x-xxxx,19194,1060099,2017,Renault,Bangalore,1022099
44,2021 Tata TIGOR Revotron XE,MANUAL,1313,Petrol,1st Owner,MH-02,12741,669199,2021,Tata,Mumbai,651699
45,2018 Maruti Celerio VXI,MANUAL,54446,Petrol,1st Owner,MH-47,9896,527099,2018,Maruti,Pune,506199
46,2022 Toyota Glanza G MT PETROL,MANUAL,12575,Petrol,1st Owner,MP-48,17188,915299,2022,Toyota,Indore,915299
47,2016 Volkswagen Vento HIGHLINE 1.2 TSI AT,AUTOMATIC,64101,Petrol,2nd Owner,KA-03-x-xxxx,16514,879399,2016,Volkswagen,Bangalore,879399
48,2017 Honda WR-V 1.2 i-VTEC VX MT,MANUAL,63136,Petrol,2nd Owner,TS-13-x-xxxx,14244,728599,2017,Honda,Hyderabad,728599
49,2020 Ford Ecosport 1.5 TITANIUM TI VCT,MANUAL,6523,Petrol,1st Owner,RJ-45,17451,929299,2020,Ford,Jaipur,929299
50,2021 Renault Kiger RXZ 1.0 TURBO MT DUAL TONE,Manual,8885,Petrol,1st Owner,KL-34,17771,963999,2021,Renault,Kochi,946299
51,2022 Maruti S PRESSO VXI PLUS,MANUAL,12117,Petrol,1st Owner,KA-67-x-xxxx,11599,616199,2022,Maruti,Bangalore,593299
52,2009 Toyota Corolla Altis  VL AT,AUTOMATIC,95781,Petrol,2nd Owner,AP-10-x-xxxx,9859,558599,2009,Toyota,Hyderabad,504299
53,2022 KIA SONET HTX 1.5D MT AE,Manual,2383,Diesel,1st Owner,MH-12,27007,1561899,2022,KIA,Pune,1438149
54,2018 Mahindra XUV500 W7 FWD,MANUAL,51066,Diesel,1st Owner,KA-51-x-xxxx,24848,1470399,2018,Mahindra,Bangalore,1323199
55,2020 Ford Ecosport 1.5TITANIUM TDCI,MANUAL,73641,Diesel,1st Owner,GJ-27,17654,997399,2020,Ford,Ahmedabad,940099
56,2022 Hyundai NEW SANTRO SPORTZ 1.1,MANUAL,5523,Petrol,1st Owner,RJ-45,10176,588999,2022,Hyundai,Jaipur,520499
57,2019 Tata Harrier XZ 2.0L Kryotec,MANUAL,43113,Diesel,1st Owner,RJ-45,29853,1631599,2019,Tata,Jaipur,1589699
58,2018 Volkswagen Ameo COMFORTLINE 1.0,MANUAL,79690,Petrol,1st Owner,RJ-19,9249,505899,2018,Volkswagen,Jaipur,473099
59,2019 Maruti Eeco 5 STR WITH AC PLUSHTR,MANUAL,12539,Petrol,1st Owner,TN-07-x-xxxx,9441,493899,2019,Maruti,Chennai,482899
60,2016 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,MANUAL,25055,Petrol,2nd Owner,MH-14,9280,521099,2016,Hyundai,Pune,474699
61,2022 KIA CARENS PRESTIGE PLUS 1.4G MT 7STR,Manual,1532,Petrol,1st Owner,MH-43,30501,1735699,2022,KIA,Mumbai,1624199
62,2021 Maruti New  Wagon-R VXI 1.0,MANUAL,3720,Petrol,1st Owner,GJ-06,11091,567299,2021,Maruti,Ahmedabad,567299
63,2020 Maruti Swift LXI,MANUAL,30620,Petrol,1st Owner,UP-32-x-xxxx,11886,607999,2020,Maruti,Lucknow,607999
64,2018 Hyundai Grand i10 ASTA 1.2 VTVT,MANUAL,9631,Petrol,1st Owner,KA-02-x-xxxx,12262,627199,2018,Hyundai,Bangalore,627199
65,2018 Honda WR-V 1.5 i-DTEC VX MT,MANUAL,49995,Diesel,1st Owner,KA-01-x-xxxx,16636,885899,2018,Honda,Bangalore,885899
66,2019 Hyundai VENUE 1.0 TURBO GDI SX+ AT,AUTOMATIC,17838,Petrol,1st Owner,WB-08,19158,1090699,2019,Hyundai,Kolkata,1020199
67,2012 Maruti Swift VXI,MANUAL,35757,Petrol,3rd Owner,MH-03,6246,319499,2012,Maruti,Mumbai,319499
68,2014 Honda Brio 1.2 S MT I VTEC,MANUAL,57021,Petrol,3rd Owner,MH-12,6592,366099,2014,Honda,Pune,337199
69,2021 Maruti Swift ZXI,MANUAL,9428,Petrol,1st Owner,KA-05-x-xxxx,15722,842199,2021,Maruti,Bangalore,837199
70,2021 Maruti Dzire VXI,MANUAL,5325,Petrol,2nd Owner,TN-09-x-xxxx,14305,740499,2021,Maruti,Chennai,731699
71,2011 Hyundai i10 MAGNA 1.1 IRDE2,MANUAL,34658,Petrol,2nd Owner,DL-4C,4391,224599,2011,Hyundai,New Delhi,224599
72,2016 Volkswagen Ameo HIGHLINE 1.2,MANUAL,64382,Petrol,2nd Owner,MH-03,9685,495399,2016,Volkswagen,Mumbai,495399
73,2019 Renault TRIBER 1.0 RXZ,MANUAL,9798,Petrol,1st Owner,MH-12,13871,739799,2019,Renault,Pune,709499
74,2020 KIA SELTOS HTX 1.5 PETROL MT,MANUAL,13232,Petrol,1st Owner,KA-03-x-xxxx,26358,1493199,2020,KIA,Bangalore,1403599
75,2014 Hyundai Eon ERA PLUS,MANUAL,21798,Petrol,1st Owner,AP-29-x-xxxx,5724,292799,2014,Hyundai,Hyderabad,292799
76,2019 Tata Hexa Varicor 400 XTA,AUTOMATIC,37564,Diesel,1st Owner,MH-12,27637,1497399,2019,Tata,Pune,1471699
77,2016 Hyundai Eon ERA PLUS,MANUAL,21690,Petrol,1st Owner,MH-12,5564,290799,2016,Hyundai,Pune,284599
78,2021 Maruti Alto LXI CNG,MANUAL,30144,Petrol + CNG,1st Owner,HR-26,9396,505599,2021,Maruti,New Delhi,480599
79,2009 Hyundai i10 MAGNA 1.2,MANUAL,85168,Petrol,2nd Owner,KL-07,3591,207699,2009,Hyundai,Kochi,183699
80,2021 Mahindra Scorpio S11,MANUAL,9981,Diesel,1st Owner,MH-02,31228,1782399,2021,Mahindra,Mumbai,1662899
81,2020 Toyota Glanza G CVT,AUTOMATIC,41783,Petrol,1st Owner,MH-12,15763,891299,2020,Toyota,Pune,839399
82,2014 Volkswagen Polo GT TSI 1.2 PETROL AT,AUTOMATIC,41194,Petrol,1st Owner,MH-01,11136,569599,2014,Volkswagen,Mumbai,569599
83,2020 Honda City VX CVT PETROL,AUTOMATIC,13369,Petrol,1st Owner,GJ-06,23224,1243599,2020,Honda,Ahmedabad,1236699
84,2020 KIA SELTOS 1.5 GTX+ AT,AUTOMATIC,23502,Diesel,1st Owner,UP-32-x-xxxx,32525,1809499,2020,KIA,Lucknow,1731999
85,2014 Maruti Swift ZXI,MANUAL,43673,Petrol,1st Owner,AP-28-x-xxxx,10270,535499,2014,Maruti,Hyderabad,525299
86,2013 Honda Amaze 1.2 SMT I VTEC,MANUAL,92490,Petrol,2nd Owner,RJ-14,6931,364199,2013,Honda,Jaipur,354499
87,2014 Ford Ecosport 1.5 TITANIUMTDCI OPT,MANUAL,84582,Diesel,1st Owner,MH-01,11169,576299,2014,Ford,Mumbai,571299
88,2022 Volkswagen TAIGUN HIGHLINE 1.0 TSI AT,Manual,6172,Petrol,1st Owner,GJ-01,29584,1628099,2022,Volkswagen,Ahmedabad,1575399
89,2018 Hyundai Xcent E PLUS,MANUAL,36913,Petrol,2nd Owner,WB-10,8516,476999,2018,Hyundai,Kolkata,435599
90,2020 KIA SONET GTX PLUS 1.5D  AT,Manual,51657,Diesel,1st Owner,MH-12,23615,1290099,2020,KIA,Pune,1257499
91,2019 MG HECTOR SHARP 2.0 DIESEL,MANUAL,93193,Diesel,1st Owner,GJ-27,28001,1640799,2019,MG,Ahmedabad,1491099
92,2020 Maruti New  Wagon-R LXI CNG 1.0 L,MANUAL,79333,Petrol + CNG,1st Owner,UP-32-x-xxxx,11419,584099,2020,Maruti,Lucknow,584099
93,2020 Mahindra KUV 100 NXT K8 6 STR,MANUAL,18626,Petrol,1st Owner,TN-22-x-xxxx,14190,758899,2020,Mahindra,Chennai,725799
94,2014 Maruti Wagon R 1.0 LXI CNG,MANUAL,71143,Petrol + CNG,1st Owner,MH-12,7969,437399,2014,Maruti,Pune,407599
95,2018 Maruti Swift VXI,MANUAL,79345,Petrol,1st Owner,WB-06,9468,557099,2018,Maruti,Kolkata,484299
96,2015 Maruti Swift Dzire ZDI,MANUAL,37712,Diesel,1st Owner,KA-01-x-xxxx,14311,741699,2015,Maruti,Bangalore,731999
97,2020 KIA SELTOS HTK PLUS AT 1.5 DIESEL,AUTOMATIC,57851,Diesel,1st Owner,TS-07-x-xxxx,24940,1460599,2020,KIA,Hyderabad,1328099
98,2018 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,MANUAL,17153,Petrol,1st Owner,UP-32-x-xxxx,10158,580599,2018,Hyundai,Lucknow,519599
99,2016 Toyota Corolla Altis G,MANUAL,80440,Petrol,1st Owner,MH-43,15883,845799,2016,Toyota,Mumbai,845799
100,2019 Tata Harrier XZ 2.0L Kryotec,MANUAL,59371,Diesel,1st Owner,RJ-45,26181,1552999,2019,Tata,Jaipur,1394149
101,2021 Honda City V CVT,AUTOMATIC,2374,Petrol,1st Owner,MH-12,23887,1359899,2021,Honda,Pune,1271999
102,2013 Maruti Alto K10 LXI,MANUAL,65913,Petrol,1st Owner,KL-39,4373,236699,2013,Maruti,Kochi,223699
103,2021 Toyota Glanza V CVT,AUTOMATIC,14995,Petrol,1st Owner,MH-12,18373,1027299,2021,Toyota,Pune,978399
104,2020 Tata TIGOR XZ PLUS 1.2 REVOTRON,MANUAL,6262,Petrol,1st Owner,MH-05,13456,694899,2020,Tata,Mumbai,688299
105,2010 Hyundai i10 SPORTZ 1.2,MANUAL,29714,Petrol,1st Owner,KL-08,3820,195399,2010,Hyundai,Kochi,195399
106,2016 Volkswagen Ameo COMFORTLINE 1.2,MANUAL,62345,Petrol,1st Owner,DL-14,8704,453099,2016,Volkswagen,New Delhi,445199
107,2020 Maruti S Cross ALPHA 1.5 SMART HYBRID,MANUAL,39239,Petrol,1st Owner,UP-32-x-xxxx,21923,1167399,2020,Maruti,Lucknow,1167399
108,2019 Maruti New  Wagon-R ZXI 1.2,MANUAL,5866,Petrol,1st Owner,TN-18-x-xxxx,11630,602499,2019,Maruti,Chennai,594899
109,2020 KIA SELTOS HTK PLUS 1.5 DIESEL,MANUAL,55754,Diesel,1st Owner,MH-05,24347,1421399,2020,KIA,Mumbai,1296499
110,2019 KIA SELTOS GTK 1.4 GDI PETROL,MANUAL,25481,Petrol,1st Owner,WB-24,22035,1263899,2019,KIA,Kolkata,1173399
111,2019 KIA SELTOS HTK 1.5 PETROL,MANUAL,19788,Petrol,1st Owner,GJ-15,19194,1095149,2019,KIA,Ahmedabad,1022099
112,2018 Jeep Compass 2.0 LONGITUDE (O),MANUAL,79397,Diesel,1st Owner,UP-70,20492,1165199,2018,Jeep,New Delhi,1091199
113,2018 Honda Amaze 1.2 V CVT I VTEC,AUTOMATIC,10392,Petrol,1st Owner,KA-01-x-xxxx,15341,821899,2018,Honda,Bangalore,816899
114,2017 Toyota Corolla Altis G AT,AUTOMATIC,75764,Petrol,1st Owner,DL-10,24863,1389899,2017,Toyota,New Delhi,1323999
115,2018 Toyota YARIS VX CVT,AUTOMATIC,29417,Petrol,2nd Owner,KA-22-x-xxxx,18507,991199,2018,Toyota,Bangalore,985499
116,2022 Renault Kiger RXZ CVT 1.0 TURBO DUAL TONE,Manual,4328,Petrol,1st Owner,WB-12,19677,1162999,2022,Renault,Kolkata,1047799
117,2021 Maruti Eeco 5 STR CNG WITH AC PLUSHTR,MANUAL,16294,Petrol + CNG,1st Owner,TN-09-x-xxxx,11206,578199,2021,Maruti,Chennai,573199
118,2016 Maruti Celerio ZXI AMT,AUTOMATIC,36894,Petrol,1st Owner,TN-12-x-xxxx,8903,455399,2016,Maruti,Chennai,455399
119,2012 Honda Brio 1.2 S MT I VTEC,MANUAL,68941,Petrol,1st Owner,MH-03,5908,302199,2012,Honda,Mumbai,302199
120,2017 Ford Ecosport 1.5 TDCI TITANIUM PLUS,MANUAL,89314,Diesel,1st Owner,UP-32-x-xxxx,13040,666999,2017,Ford,Lucknow,666999
121,2020 MG HECTOR SHARP DCT PETROL,AUTOMATIC,19456,Petrol,1st Owner,GJ-06,29785,1652499,2020,MG,Ahmedabad,1586099
122,2021 Toyota URBAN CRUISER PREMIUM MT,Manual,4287,Petrol,2nd Owner,KA-05-x-xxxx,20463,1107899,2021,Toyota,Bangalore,1089699
123,2020 Volkswagen Polo Trendline 1.0 L Petrol,MANUAL,46697,Petrol + CNG,1st Owner,MH-04,11695,635699,2020,Volkswagen,Mumbai,598199
124,2012 Maruti Swift VXI,MANUAL,19042,Petrol,1st Owner,WB-20,6784,346999,2012,Maruti,Kolkata,346999
125,2021 Toyota Glanza G CVT,AUTOMATIC,8259,Petrol,1st Owner,KA-02-x-xxxx,18736,997699,2021,Toyota,Bangalore,997699
126,2021 Mahindra Thar LX  4WD AT CONVERTIBLE,AUTOMATIC,18128,Petrol,1st Owner,HR-21,30642,1687199,2021,Mahindra,New Delhi,1631699
127,2016 Nissan Micra XV CVT,AUTOMATIC,51567,Petrol,1st Owner,TS-08-x-xxxx,9847,503699,2016,Nissan,Hyderabad,503699
128,2021 Tata TIGOR XZ PLUS 1.2 REVOTRON,MANUAL,16667,Petrol,1st Owner,TS-08-x-xxxx,14414,804399,2021,Tata,Hyderabad,737299
129,2022 Skoda KUSHAQ AMBITION 1.0 TSI AT,Manual,4340,Petrol,1st Owner,GJ-18,26783,1541999,2022,Skoda,Ahmedabad,1426199
130,2016 Tata Tiago XZ 1.2 REVOTRON,MANUAL,59341,Petrol,1st Owner,KA-05-x-xxxx,9329,489599,2016,Tata,Bangalore,477199
131,2014 Ford Ecosport 1.5AMBIENTE TI VCT,MANUAL,85905,Petrol,1st Owner,MH-12,9323,481899,2014,Ford,Pune,476899
132,2019 Ford Figo Aspire 1.2 TITANIUM PETROL,MANUAL,23290,Petrol,1st Owner,TN-14-x-xxxx,12915,710599,2019,Ford,Chennai,660599
133,2018 Ford Ecosport 1.5TITANIUM TDCI,MANUAL,79406,Diesel,1st Owner,UP-78-x-xxxx,15161,801299,2018,Ford,Lucknow,775499
134,2021 Volkswagen Polo HIGH LINE PLUS 1.0,MANUAL,22535,Petrol,1st Owner,TN-01-x-xxxx,16308,888099,2021,Volkswagen,Chennai,868399
135,2011 Hyundai i20 SPORTZ 1.2 VTVT,MANUAL,30702,Petrol,2nd Owner,DL-3C,5879,300699,2011,Hyundai,New Delhi,300699
136,2019 Maruti New  Wagon-R LXI 1.0 L,MANUAL,3579,Petrol,1st Owner,DL-12,9914,507099,2019,Maruti,New Delhi,507099
137,2020 Renault TRIBER RXE MT PETROL,MANUAL,7008,Petrol,1st Owner,WB-06,10262,537999,2020,Renault,Kolkata,524899
138,2016 Hyundai i10 MAGNA 1.1 IRDE2,MANUAL,57622,Petrol,1st Owner,DL-8C,6643,339799,2016,Hyundai,New Delhi,339799
139,2015 Tata Nano XT TWIST,MANUAL,39537,Petrol,2nd Owner,MH-12,2882,147399,2015,Tata,Pune,147399
140,2021 Maruti Swift ZXI+ DUAL TONE,Manual,37089,Petrol,1st Owner,GJ-27,16150,918799,2021,Maruti,Ahmedabad,859999
141,2019 Mahindra MARAZZO M8 7 STR,MANUAL,49956,Diesel,1st Owner,MH-01,21662,1291899,2019,Mahindra,Pune,1153499
142,2019 KIA SELTOS HTX+ MT 1.5 DIESEL,MANUAL,37157,Diesel,1st Owner,MH-12,30309,1613999,2019,KIA,Pune,1613999
143,2021 Honda Jazz ZX CVT,AUTOMATIC,9838,Petrol,1st Owner,MH-14,19558,1108799,2021,Honda,Pune,1041499
144,2021 Honda Jazz 1.2 ZX MT,MANUAL,5745,Petrol,1st Owner,WB-02,17491,957999,2021,Honda,Kolkata,931399
145,2019 Maruti Eeco 5 STR WITH AC PLUSHTR,MANUAL,12281,Petrol,1st Owner,TS-11-x-xxxx,9119,484199,2019,Maruti,Hyderabad,466449
146,2022 SKODA SLAVIA STYLE 1.5 TSI DSG,Manual,4854,Petrol,1st Owner,TS-07-x-xxxx,34260,1999399,2022,SKODA,Hyderabad,1824399
147,2019 Maruti Alto 800 LXI,MANUAL,7693,Petrol,1st Owner,GJ-01,6801,352899,2019,Maruti,Ahmedabad,347899
148,2020 Tata ALTROZ XZ 1.2,MANUAL,18544,Petrol,1st Owner,DL-2C,15549,827999,2020,Tata,New Delhi,827999
149,2019 Tata Harrier XZ 2.0L Kryotec,MANUAL,57852,Diesel,1st Owner,WB-38,24488,1430999,2019,Tata,Kolkata,1303999
150,2020 Mahindra XUV500 W9 AT,AUTOMATIC,19869,Diesel,1st Owner,MH-46,31345,1854499,2020,Mahindra,Mumbai,1669149
151,2021 Hyundai NEW I20 ASTA (O) 1.5 CRDI MT,Manual,27163,Diesel,2nd Owner,MH-12,20274,1120399,2021,Hyundai,Mumbai,1079599
152,2019 Tata Tiago XZ+ 1.2 Revotron,MANUAL,21945,Petrol,1st Owner,TS-15-x-xxxx,12420,635299,2019,Tata,Hyderabad,635299
153,2022 Mahindra Thar LX D AT 4WD HT,AUTOMATIC,9297,Diesel,1st Owner,GJ-03,33616,1790099,2022,Mahindra,Ahmedabad,1790099
154,2021 Ford FREESTYLE TITANIUM Plus 1.5 TDCI MT,MANUAL,26938,Diesel,1st Owner,TN-12-x-xxxx,17357,924299,2021,Ford,Chennai,924299
155,2017 Hyundai Elite i20 ASTA 1.2 (O),MANUAL,35939,Petrol,2nd Owner,KL-56,11861,654399,2017,Hyundai,Kochi,606699
156,2018 Honda Amaze 1.5 SMT I DTEC,MANUAL,91156,Diesel,1st Owner,TN-11-x-xxxx,12889,659299,2018,Honda,Chennai,659299
157,2018 Ford Ecosport 1.5 TDCI TITANIUM PLUS,MANUAL,75349,Diesel,1st Owner,TS-07-x-xxxx,16163,959549,2018,Ford,Hyderabad,860699
158,2020 Hyundai Elite i20 1.2 MAGNA PLUS VTVT,MANUAL,35085,Petrol,1st Owner,KL-72,13042,667099,2020,Hyundai,Kochi,667099
159,2020 Tata Harrier XZ 2.0L Kryotec,MANUAL,33433,Diesel,1st Owner,UP-78-x-xxxx,24022,1438599,2020,Tata,Lucknow,1279199
160,2017 Honda Jazz 1.2 S MT,MANUAL,19800,Petrol,1st Owner,DL-10,11044,569899,2017,Honda,New Delhi,564899
161,2015 Tata Nano XT TWIST,MANUAL,50395,Petrol,1st Owner,WB-20,2135,129199,2015,Tata,Kolkata,109199
162,2012 Hyundai i10 SPORTZ 1.2 KAPPA2,MANUAL,69426,Petrol,1st Owner,KL-58,4407,275499,2012,Hyundai,Kochi,225399
163,2019 Toyota YARIS VX CVT,AUTOMATIC,11159,Petrol,2nd Owner,MH-20,20396,1158199,2019,Toyota,Mumbai,1086099
164,2016 Mahindra TUV300 T8,MANUAL,43776,Diesel,1st Owner,KA-02-x-xxxx,14954,770199,2016,Mahindra,Bangalore,764899
165,2017 Maruti Swift VXI,MANUAL,73582,Petrol,1st Owner,RJ-07,9613,491699,2017,Maruti,Jaipur,491699
166,2014 Maruti Swift Dzire VXI 1.2 BS IV,MANUAL,25911,Petrol,2nd Owner,WB-02,6665,403399,2014,Maruti,Kolkata,340899
167,2018 Hyundai Creta 1.6 SX AT CRDI,AUTOMATIC,56907,Diesel,1st Owner,WB-08,20952,1130699,2018,Hyundai,Kolkata,1115699
168,2021 Tata ALTROZ XZ+ 1.2 I- TURBO,Manual,11440,Petrol,1st Owner,MH-12,17361,988099,2021,Tata,Pune,924499
169,2016 Renault Kwid RXT Opt,MANUAL,57580,Petrol + CNG,2nd Owner,KA-04-x-xxxx,6712,343299,2016,Renault,Bangalore,343299
170,2022 Hyundai VENUE S MT 1.2 KAPPA,MANUAL,3456,Petrol,1st Owner,GJ-06,17639,971699,2022,Hyundai,Ahmedabad,939299
171,2020 Maruti XL6 ZETA SHVS,MANUAL,22792,Petrol,1st Owner,RJ-05,18343,1079799,2020,Maruti,Jaipur,976799
172,2015 Volkswagen Polo COMFORTLINE 1.5L DIESEL,MANUAL,93286,Diesel,1st Owner,RJ-14,6676,341499,2015,Volkswagen,Jaipur,341499
173,2011 Maruti Ritz VXI,MANUAL,100162,Petrol,1st Owner,KA-04-x-xxxx,7323,374599,2011,Maruti,Bangalore,374599
174,2019 Honda City V CVT,AUTOMATIC,90113,Petrol + CNG,1st Owner,GJ-01,16659,951299,2019,Honda,Ahmedabad,887099
175,2017 Hyundai Elite i20 ASTA 1.2,MANUAL,28473,Petrol,2nd Owner,MH-04,12057,673799,2017,Hyundai,Mumbai,616699
176,2014 Honda Brio 1.2 S MT I VTEC,MANUAL,53798,Petrol,1st Owner,TN-02-x-xxxx,8029,410699,2014,Honda,Chennai,410699
177,2016 Toyota Etios Liva V  LIMITED,MANUAL,36420,Petrol,1st Owner,MH-43,9828,502699,2016,Toyota,Pune,502699
178,2021 Honda WR-V 1.2 i-VTEC VX MT,MANUAL,36507,Petrol,1st Owner,RJ-05,16501,878699,2021,Honda,Jaipur,878699
179,2021 Hyundai NEW I20 ASTA (O) 1.5 CRDI MT,Manual,13192,Diesel,1st Owner,TS-08-x-xxxx,20043,1152399,2021,Hyundai,Hyderabad,1067299
